id,customer_code,full_name,email,phone,registration_date,country,city
216,C16883.0,Client 16883,16883@client.com,4070016883,2022-06-18,United Kingdom,United Kingdom
217,C13520.0,Client 13520,13520@client.com,4070013520,2022-08-11,Switzerland,Switzerland
218,C12841.0,Client 12841,12841@client.com,4070012841,2022-02-13,United Kingdom,United Kingdom
219,C16905.0,Client 16905,16905@client.com,4070016905,2022-12-01,United Kingdom,United Kingdom
220,C12427.0,Client 12427,12427@client.com,4070012427,2022-03-28,Germany,Germany
221,C17967.0,Client 17967,17967@client.com,4070017967,2022-03-07,United Kingdom,United Kingdom
222,C16891.0,Client 16891,16891@client.com,4070016891,2022-03-17,United Kingdom,United Kingdom
223,C14589.0,Client 14589,14589@client.com,4070014589,2022-08-05,United Kingdom,United Kingdom
224,C14680.0,Client 14680,14680@client.com,4070014680,2022-12-04,United Kingdom,United Kingdom
225,C17884.0,Client 17884,17884@client.com,4070017884,2022-09-06,United Kingdom,United Kingdom
226,C12557.0,Client 12557,12557@client.com,4070012557,2022-05-11,Spain,Spain
227,C14083.0,Client 14083,14083@client.com,4070014083,2022-10-26,United Kingdom,United Kingdom
228,C13013.0,Client 13013,13013@client.com,4070013013,2022-01-20,United Kingdom,United Kingdom
229,C14210.0,Client 14210,14210@client.com,4070014210,2022-12-13,United Kingdom,United Kingdom
230,C16477.0,Client 16477,16477@client.com,4070016477,2022-06-30,United Kingdom,United Kingdom
231,C12600.0,Client 12600,12600@client.com,4070012600,2022-02-12,Germany,Germany
232,C16013.0,Client 16013,16013@client.com,4070016013,2022-10-17,United Kingdom,United Kingdom
233,C17949.0,Client 17949,17949@client.com,4070017949,2022-04-28,United Kingdom,United Kingdom
234,C12779.0,Client 12779,12779@client.com,4070012779,2022-05-09,Poland,Poland
235,C16926.0,Client 16926,16926@client.com,4070016926,2022-11-18,United Kingdom,United Kingdom
236,C17787.0,Client 17787,17787@client.com,4070017787,2022-02-03,United Kingdom,United Kingdom
237,C12682.0,Client 12682,12682@client.com,4070012682,2022-08-11,France,France
238,C14723.0,Client 14723,14723@client.com,4070014723,2022-10-01,United Kingdom,United Kingdom
239,C17954.0,Client 17954,17954@client.com,4070017954,2022-02-14,United Kingdom,United Kingdom
240,C17819.0,Client 17819,17819@client.com,4070017819,2022-08-25,United Kingdom,United Kingdom
241,C12712.0,Client 12712,12712@client.com,4070012712,2022-06-22,Germany,Germany
242,C15373.0,Client 15373,15373@client.com,4070015373,2022-03-20,United Kingdom,United Kingdom
243,C16140.0,Client 16140,16140@client.com,4070016140,2022-03-13,United Kingdom,United Kingdom
244,C17198.0,Client 17198,17198@client.com,4070017198,2022-03-04,United Kingdom,United Kingdom
245,C17238.0,Client 17238,17238@client.com,4070017238,2022-03-12,United Kingdom,United Kingdom
246,C12793.0,Client 12793,12793@client.com,4070012793,2022-08-05,Portugal,Portugal
247,C15769.0,Client 15769,15769@client.com,4070015769,2022-07-23,United Kingdom,United Kingdom
248,C14396.0,Client 14396,14396@client.com,4070014396,2022-05-13,United Kingdom,United Kingdom
249,C14898.0,Client 14898,14898@client.com,4070014898,2022-01-24,United Kingdom,United Kingdom
250,C12725.0,Client 12725,12725@client.com,4070012725,2022-04-29,Italy,Italy
251,C16725.0,Client 16725,16725@client.com,4070016725,2022-11-27,United Kingdom,United Kingdom
252,C12395.0,Client 12395,12395@client.com,4070012395,2022-10-31,Belgium,Belgium
253,C16455.0,Client 16455,16455@client.com,4070016455,2022-12-26,United Kingdom,United Kingdom
254,C13081.0,Client 13081,13081@client.com,4070013081,2022-10-31,United Kingdom,United Kingdom
255,C15545.0,Client 15545,15545@client.com,4070015545,2022-06-24,United Kingdom,United Kingdom
256,C17243.0,Client 17243,17243@client.com,4070017243,2022-02-05,United Kingdom,United Kingdom
257,C15465.0,Client 15465,15465@client.com,4070015465,2022-11-01,United Kingdom,United Kingdom
258,C15708.0,Client 15708,15708@client.com,4070015708,2022-12-21,United Kingdom,United Kingdom
259,C13089.0,Client 13089,13089@client.com,4070013089,2022-07-18,United Kingdom,United Kingdom
260,C16033.0,Client 16033,16033@client.com,4070016033,2022-03-31,United Kingdom,United Kingdom
261,C13838.0,Client 13838,13838@client.com,4070013838,2022-10-24,United Kingdom,United Kingdom
262,C15351.0,Client 15351,15351@client.com,4070015351,2022-02-18,United Kingdom,United Kingdom
263,C18055.0,Client 18055,18055@client.com,4070018055,2022-10-04,United Kingdom,United Kingdom
264,C15038.0,Client 15038,15038@client.com,4070015038,2022-05-11,United Kingdom,United Kingdom
265,C18109.0,Client 18109,18109@client.com,4070018109,2022-07-19,United Kingdom,United Kingdom
266,C13069.0,Client 13069,13069@client.com,4070013069,2022-07-07,United Kingdom,United Kingdom
267,C16241.0,Client 16241,16241@client.com,4070016241,2022-08-21,United Kingdom,United Kingdom
268,C14800.0,Client 14800,14800@client.com,4070014800,2022-12-03,United Kingdom,United Kingdom
269,C16839.0,Client 16839,16839@client.com,4070016839,2022-10-07,United Kingdom,United Kingdom
270,C16168.0,Client 16168,16168@client.com,4070016168,2022-11-05,United Kingdom,United Kingdom
271,C16931.0,Client 16931,16931@client.com,4070016931,2022-12-27,United Kingdom,United Kingdom
272,C16814.0,Client 16814,16814@client.com,4070016814,2022-06-14,United Kingdom,United Kingdom
273,C13269.0,Client 13269,13269@client.com,4070013269,2022-04-19,United Kingdom,United Kingdom
274,C14813.0,Client 14813,14813@client.com,4070014813,2022-12-03,United Kingdom,United Kingdom
275,C12567.0,Client 12567,12567@client.com,4070012567,2022-08-15,France,France
276,C17062.0,Client 17062,17062@client.com,4070017062,2022-11-30,United Kingdom,United Kingdom
277,C15332.0,Client 15332,15332@client.com,4070015332,2022-01-12,Lithuania,Lithuania
278,C14810.0,Client 14810,14810@client.com,4070014810,2022-11-18,United Kingdom,United Kingdom
279,C16353.0,Client 16353,16353@client.com,4070016353,2022-05-12,United Kingdom,United Kingdom
280,C18118.0,Client 18118,18118@client.com,4070018118,2022-07-15,United Kingdom,United Kingdom
281,C13831.0,Client 13831,13831@client.com,4070013831,2022-09-26,United Kingdom,United Kingdom
282,C13506.0,Client 13506,13506@client.com,4070013506,2022-12-02,United Kingdom,United Kingdom
283,C17796.0,Client 17796,17796@client.com,4070017796,2022-02-05,United Kingdom,United Kingdom
284,C15716.0,Client 15716,15716@client.com,4070015716,2022-06-27,United Kingdom,United Kingdom
285,C18156.0,Client 18156,18156@client.com,4070018156,2022-02-19,United Kingdom,United Kingdom
286,C15221.0,Client 15221,15221@client.com,4070015221,2022-05-26,United Kingdom,United Kingdom
287,C16983.0,Client 16983,16983@client.com,4070016983,2022-03-16,United Kingdom,United Kingdom
288,C17059.0,Client 17059,17059@client.com,4070017059,2022-10-09,United Kingdom,United Kingdom
289,C16327.0,Client 16327,16327@client.com,4070016327,2022-05-13,United Kingdom,United Kingdom
290,C17211.0,Client 17211,17211@client.com,4070017211,2022-05-19,United Kingdom,United Kingdom
291,C17026.0,Client 17026,17026@client.com,4070017026,2022-08-28,United Kingdom,United Kingdom
292,C15570.0,Client 15570,15570@client.com,4070015570,2022-05-20,United Kingdom,United Kingdom
293,C15880.0,Client 15880,15880@client.com,4070015880,2022-12-11,United Kingdom,United Kingdom
294,C16718.0,Client 16718,16718@client.com,4070016718,2022-07-02,United Kingdom,United Kingdom
295,C15808.0,Client 15808,15808@client.com,4070015808,2022-03-07,United Kingdom,United Kingdom
296,C17858.0,Client 17858,17858@client.com,4070017858,2022-01-04,United Kingdom,United Kingdom
297,C16393.0,Client 16393,16393@client.com,4070016393,2022-11-08,United Kingdom,United Kingdom
298,C14161.0,Client 14161,14161@client.com,4070014161,2022-12-14,United Kingdom,United Kingdom
299,C17863.0,Client 17863,17863@client.com,4070017863,2022-12-24,United Kingdom,United Kingdom
